,SAMPLE,SERIAL,PERNUM,wage,sex,age,bpl,hisp,speakeng,asian,black,white,unempl,typhrs,degr,edu,grad,opl,inclvl,natage,yrusa,ageimmig,selfemp
3,202201,164,1,600,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
8,202201,258,1,600,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
12,202201,351,1,580,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
19,202201,901,1,600,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
20,202201,927,1,580,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
34,202201,1525,1,3000,1,19,210,1,3,0,0,0,1,25,0,12,0,1,1,18,17,2,0
35,202201,1537,1,3000,1,19,210,1,3,0,0,0,1,25,0,13,0,1,1,18,17,2,0
44,202201,2066,1,600,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
53,202201,2495,1,500,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
60,202201,2723,1,580,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
64,202201,2884,1,3000,1,19,210,1,3,0,0,0,1,25,0,13,0,1,1,18,17,2,0
67,202201,2965,1,580,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
78,202201,3252,2,109000,1,37,150,1,3,0,1,0,0,36,1,18,1,1,1,15,28,9,0
85,202201,3335,1,50000,0,29,300,0,4,0,0,1,0,9,1,16,0,1,1,7,21,8,0
96,202201,3557,2,52000,0,36,300,0,4,0,0,0,0,34,1,18,1,1,1,15,24,12,0
97,202201,3602,1,64000,0,31,300,0,4,0,0,0,0,40,1,18,1,1,1,13,21,10,0
110,202201,3843,3,24400,1,54,210,1,6,0,0,0,0,40,1,16,0,1,1,27,51,3,0
129,202201,4068,1,100000,0,41,260,0,3,0,1,0,0,40,1,18,1,0,1,12,25,16,0
144,202201,4312,3,14400,0,18,300,0,4,0,0,0,0,30,0,11,0,1,1,4,7,11,0
151,202201,4409,1,48000,0,55,453,0,3,0,0,1,0,50,0,12,0,1,0,56,55,0,0
173,202201,4654,1,0,0,45,200,0,6,0,0,1,0,55,0,7,0,1,1,5,29,16,1
185,202201,4842,1,24000,1,31,260,1,4,0,1,0,0,40,0,12,0,0,1,3,15,16,0
190,202201,4894,1,77000,0,38,210,0,4,0,1,1,0,40,0,12,0,1,1,17,28,10,0
213,202201,5396,1,85000,1,51,411,1,3,0,0,1,0,48,1,16,0,0,0,31,44,7,0
218,202201,5463,1,54000,0,51,438,0,4,0,0,1,0,40,0,12,0,1,0,46,45,6,0
219,202201,5496,1,73000,0,24,599,0,4,0,0,1,0,40,1,16,0,1,1,14,19,5,0
234,202201,5726,2,32000,1,40,453,1,4,0,0,1,0,40,0,12,0,1,0,34,33,7,0
237,202201,5754,3,2100,1,27,150,1,3,0,1,0,0,40,1,18,1,1,1,4,22,5,0
238,202201,5754,4,2500,1,25,150,1,3,0,1,0,0,15,1,16,0,1,1,4,22,3,0
243,202201,5920,2,6000,1,67,250,1,4,0,0,1,0,40,0,14,0,1,1,43,60,7,0
264,202201,6239,1,45000,1,54,410,1,3,0,0,1,0,40,1,16,0,0,0,30,52,2,0
274,202201,6372,1,30000,0,36,200,0,5,0,0,0,0,40,0,9,0,1,1,4,26,10,0
275,202201,6372,2,2000,1,35,200,1,4,0,0,0,0,32,0,12,0,1,1,23,32,3,0
290,202201,6599,1,80000,1,62,453,1,3,0,0,1,0,40,0,12,0,1,0,59,59,3,0
291,202201,6623,1,0,0,50,453,0,3,0,0,1,0,50,0,12,0,1,0,47,46,4,1
303,202201,6860,1,60000,0,59,453,0,4,0,0,1,0,80,0,13,0,1,0,43,48,11,1
308,202201,6958,3,13000,0,19,453,0,3,0,0,1,0,40,0,12,0,1,0,20,19,0,0
311,202201,6984,1,40000,0,27,300,0,3,0,0,1,0,40,0,13,0,1,1,22,24,3,0
319,202201,7119,1,94000,0,36,500,0,4,1,0,0,0,40,0,12,0,1,1,19,28,8,0
320,202201,7119,2,22500,1,34,500,1,6,1,0,0,0,40,0,12,0,1,1,15,23,11,0
331,202201,7294,2,105000,1,51,515,1,3,1,0,0,0,60,1,16,0,1,1,41,50,1,0
334,202201,7369,2,250000,0,61,200,0,3,0,0,1,0,40,1,16,0,1,1,38,54,7,0
336,202201,7404,1,63000,0,28,300,0,4,0,0,1,0,40,0,13,0,1,1,12,20,8,0
342,202201,7450,1,150000,0,38,502,0,4,1,0,0,0,48,1,16,0,1,0,12,23,15,0
344,202201,7484,1,59000,1,62,453,1,3,0,0,1,0,28,0,14,0,1,0,63,59,3,0
347,202201,7538,2,50000,0,41,200,0,4,0,0,0,0,50,0,12,0,1,1,23,24,17,0
355,202201,7631,2,35000,0,43,260,0,4,0,1,0,0,60,1,16,0,0,1,7,38,5,0
360,202201,7731,2,20000,0,71,453,0,4,0,0,1,0,16,1,18,1,1,0,23,68,3,0
362,202201,7747,2,65000,0,37,300,0,4,0,0,1,0,90,1,16,0,1,1,3,21,16,0
371,202201,7934,1,30000,1,27,465,1,4,0,0,1,0,30,0,12,0,1,1,13,12,15,0
376,202201,7988,2,452000,0,59,502,0,3,1,0,0,0,40,1,18,1,1,0,43,44,15,0
381,202201,8062,1,27000,0,37,200,0,5,0,0,0,0,35,0,0,0,1,1,3,21,16,0
386,202201,8114,1,250000,0,36,260,0,3,0,1,0,0,50,0,13,0,0,1,32,31,5,0
391,202201,8140,1,46000,1,31,200,1,4,0,0,0,0,45,1,18,1,1,1,31,30,1,0
397,202201,8239,2,237000,1,62,502,1,4,1,0,0,0,50,1,16,0,1,0,43,47,15,0
408,202201,8435,2,3000,1,19,465,1,3,1,0,0,0,22,0,13,0,1,1,19,18,1,0
410,202201,8447,2,26000,1,48,200,1,4,0,0,1,0,28,0,13,0,1,1,14,48,0,0
421,202201,8515,2,45000,0,35,200,0,4,0,0,0,0,40,0,12,0,1,1,20,19,16,0
446,202201,8806,1,200000,0,50,413,0,3,0,0,1,0,40,1,18,1,0,0,31,33,17,0
484,202201,9222,1,5000,0,26,517,0,4,1,0,0,0,45,0,13,0,1,1,9,19,7,0
491,202201,9338,2,452000,1,59,150,1,3,0,0,1,0,60,1,18,1,1,1,21,58,1,0
496,202201,9468,1,50000,0,65,210,0,5,0,0,0,0,60,0,12,0,1,1,50,49,16,0
500,202201,9540,1,35000,0,35,200,0,4,0,0,1,0,40,0,12,0,1,1,20,19,16,0
524,202201,9873,2,61000,1,38,260,1,3,0,1,0,0,40,0,14,0,0,1,13,26,12,0
525,202201,9895,1,36500,0,41,200,0,4,0,0,0,0,40,0,12,0,1,1,4,38,3,0
526,202201,9910,1,120000,1,67,453,1,3,0,1,0,0,40,1,16,0,1,0,56,67,0,0
541,202201,10150,3,25000,1,20,500,1,3,1,0,0,0,35,0,12,0,1,1,16,16,4,0
542,202201,10168,2,60000,1,23,465,1,3,0,0,1,0,52,1,16,0,1,1,17,16,7,0
562,202201,10419,2,30000,1,26,200,1,4,0,0,1,0,34,1,16,0,1,1,4,10,16,0
571,202201,10533,2,37000,1,30,465,1,4,0,0,1,0,40,1,16,0,1,1,26,25,5,0
573,202201,10551,1,45000,1,48,515,1,3,1,0,0,0,55,1,16,0,1,1,30,35,13,0
580,202201,10621,3,40000,0,25,210,0,4,0,0,1,1,40,0,12,0,1,1,17,16,9,0
582,202201,10724,1,0,1,38,515,1,4,1,0,0,0,60,0,13,0,1,1,17,26,12,1
598,202201,10865,2,38000,0,30,200,0,4,0,0,1,0,45,1,20,1,1,1,18,30,0,1
609,202201,10979,3,24000,1,47,513,1,5,1,0,0,0,30,0,13,0,1,1,35,34,13,0
611,202201,11026,1,44000,1,30,200,1,4,0,0,1,0,50,1,16,0,1,1,7,28,2,0
621,202201,11186,3,3000,1,22,500,1,3,1,0,0,0,28,1,16,0,1,1,12,21,1,0
624,202201,11257,2,100000,0,59,200,0,3,0,0,1,0,40,1,20,1,1,1,41,49,10,0
625,202201,11266,1,119000,1,38,500,1,5,1,0,0,0,40,1,16,0,1,1,21,29,9,0
640,202201,11557,2,42000,1,45,502,1,3,1,0,0,0,45,1,18,1,1,0,43,42,3,0
643,202201,11609,1,130000,0,60,200,0,4,0,0,0,0,40,1,18,1,1,1,35,59,1,0
644,202201,11626,1,24000,1,27,456,1,3,0,0,1,0,88,0,13,0,1,0,25,25,2,0
647,202201,11767,2,39000,1,58,453,1,3,0,0,1,0,50,1,16,0,1,0,54,55,3,0
656,202201,11889,1,160000,1,37,502,1,3,1,0,0,0,36,1,16,0,1,0,35,35,2,0
666,202201,12055,2,9000,1,26,150,1,3,0,0,1,0,45,1,16,0,1,1,2,11,15,0
667,202201,12055,3,38000,1,25,150,1,3,0,0,1,0,40,0,13,0,1,1,2,11,14,0
671,202201,12074,1,55000,1,27,502,1,4,1,0,0,0,40,1,16,0,1,0,6,15,12,0
673,202201,12152,1,64000,1,29,200,1,4,0,0,1,0,40,0,14,0,1,1,4,21,8,0
674,202201,12152,2,23000,0,28,200,0,4,0,0,1,0,30,0,12,0,1,1,1,27,1,0
709,202201,12472,2,28000,1,42,200,1,4,0,0,0,0,40,0,13,0,1,1,13,28,14,0
718,202201,12606,2,155000,1,51,502,1,3,1,0,0,0,50,1,16,0,1,0,42,45,6,0
721,202201,12719,1,56000,0,32,456,0,3,0,0,1,0,40,0,14,0,1,0,30,29,3,0
723,202201,12723,2,6900,1,28,300,1,6,0,0,0,0,8,0,12,0,1,1,16,15,13,0
737,202201,12917,1,10000,0,52,522,0,5,0,0,1,0,35,0,12,0,1,1,19,43,9,0
751,202201,13046,1,21600,1,33,200,1,5,0,0,1,0,36,0,12,0,1,1,10,20,13,0
754,202201,13055,2,15000,1,23,200,1,4,0,0,0,0,20,1,16,0,1,1,0,19,4,0
755,202201,13070,3,70000,0,58,465,0,4,0,0,1,0,40,0,12,0,1,1,54,55,3,0
775,202201,13417,2,77000,0,36,453,0,3,0,1,1,0,80,0,12,0,1,0,32,31,5,0
780,202201,13470,1,85000,0,34,536,0,4,0,0,1,0,60,1,16,0,1,0,11,22,12,0
782,202201,13478,2,28000,0,37,150,0,3,0,0,1,0,40,1,16,0,1,1,13,21,16,0
790,202201,13577,2,60000,0,44,300,0,1,0,0,1,0,45,0,12,0,1,1,4,43,1,0
791,202201,13587,2,57000,0,41,260,0,3,0,0,0,0,40,0,11,0,0,1,4,38,3,0
796,202201,13648,1,150000,1,50,453,1,4,0,0,1,0,45,0,12,0,1,0,51,50,0,0
807,202201,13775,2,31000,1,25,500,1,3,1,0,0,0,50,0,12,0,1,1,24,23,2,0
812,202201,13863,2,0,0,26,532,0,4,0,0,1,0,48,1,16,0,1,1,9,13,13,1
821,202201,13951,1,30000,1,45,200,1,4,0,0,0,0,20,0,14,0,1,1,16,29,16,0
823,202201,13966,1,16800,1,26,200,1,4,0,0,1,0,12,0,12,0,1,1,4,10,16,1
826,202201,14015,2,0,1,45,260,1,3,1,1,1,0,30,1,16,0,0,1,20,31,14,1
833,202201,14174,2,140000,1,50,150,1,4,0,0,1,0,55,1,20,1,1,1,13,35,15,0
859,202201,14621,1,54000,1,40,500,1,6,1,0,0,0,54,0,12,0,1,1,13,24,16,0
879,202201,14881,2,55000,0,57,410,0,3,0,0,1,0,84,0,12,0,0,0,55,54,3,0
887,202201,15011,3,32000,0,22,200,0,4,0,0,0,0,40,0,14,0,1,1,1,20,2,0
896,202201,15156,2,34000,0,35,502,0,3,1,0,0,0,35,0,12,0,1,0,17,34,1,0
905,202201,15296,2,100000,0,42,300,0,4,0,0,1,0,60,1,16,0,1,1,22,40,2,0
922,202201,15550,2,26000,1,66,200,1,1,0,0,1,0,40,0,0,0,1,1,51,50,16,0
935,202201,15711,3,2000,0,30,200,0,5,0,0,0,0,11,0,12,0,1,1,2,22,8,0
975,202201,16172,3,48000,1,34,500,1,3,1,0,0,0,54,1,16,0,1,1,19,26,8,0
987,202201,16282,1,75000,1,35,210,1,4,0,0,1,0,70,0,14,0,1,1,32,31,4,0
990,202201,16342,1,25000,0,37,200,0,4,0,0,0,0,72,0,12,0,1,1,3,21,16,1
1005,202201,16586,3,21000,0,26,150,0,3,0,1,0,0,36,0,13,0,1,1,2,25,1,0
1031,202201,16991,3,3000,1,19,500,1,3,1,0,0,0,30,0,11,0,1,1,12,11,8,0
1052,202201,17194,1,91000,0,28,150,0,3,0,0,1,0,40,1,16,0,1,1,10,27,1,0
1075,202201,17478,3,19000,1,43,260,1,3,0,1,0,0,38,0,12,0,0,1,39,38,5,0
1090,202201,17793,1,94000,0,53,300,0,5,0,0,1,0,40,1,18,1,1,1,33,49,4,0
1099,202201,17992,2,56000,1,27,210,1,3,0,0,0,0,65,0,13,0,1,1,22,24,3,0
1139,202201,18648,2,70000,0,26,300,0,4,0,0,0,0,40,1,16,0,1,1,6,9,17,0
1173,202201,19269,2,30000,1,50,515,1,3,1,0,0,0,40,0,13,0,1,1,42,41,9,0
1195,202201,19601,1,15000,1,57,453,1,3,0,0,1,0,48,0,12,0,1,0,16,44,13,0
1201,202201,19667,1,35000,1,41,517,1,3,1,0,0,0,40,0,12,0,1,1,11,34,7,0
1207,202201,19758,2,13200,1,39,515,1,3,1,0,0,0,48,0,12,0,1,1,1,31,8,0
1208,202201,19759,1,0,0,33,200,0,5,0,0,0,0,60,0,6,0,1,1,18,17,16,1
1220,202201,20001,2,35000,0,59,210,0,6,0,0,0,0,40,0,0,0,1,1,4,56,3,0
1256,202201,20400,2,44600,0,44,517,0,4,1,0,0,0,57,0,0,0,1,1,2,41,3,0
1260,202201,20449,2,34300,1,26,413,1,4,0,0,1,0,40,0,13,0,0,0,2,11,15,0
1273,202201,20651,1,3500,0,73,250,0,3,0,0,1,0,12,1,18,1,1,1,52,60,13,0
1303,202201,21192,1,5500,0,24,300,0,4,0,0,1,0,20,1,16,0,1,1,12,15,9,0
1312,202201,21267,1,60000,0,49,544,0,5,0,0,1,0,70,0,12,0,1,1,16,42,7,1
1322,202201,21347,1,52000,1,39,502,1,3,1,0,0,0,33,0,13,0,1,0,38,38,1,0
1332,202201,21454,3,25000,1,32,200,1,4,0,0,0,0,38,0,14,0,1,1,21,29,3,0
1333,202201,21485,1,42000,1,51,210,1,4,0,0,1,0,40,1,16,0,1,1,34,45,6,0
1336,202201,21551,4,0,0,19,500,0,3,1,0,0,1,0,0,12,0,1,1,6,5,14,0
1342,202201,21600,1,36000,1,49,150,1,3,0,0,1,0,16,1,18,1,1,1,16,42,7,0
1343,202201,21618,1,25000,0,34,210,0,4,0,0,0,0,40,0,10,0,1,1,19,18,16,0
1348,202201,21649,2,16500,1,33,200,1,4,0,0,1,0,40,0,14,0,1,1,1,26,7,0
1349,202201,21652,1,26400,0,44,200,0,4,0,0,0,0,40,0,12,0,1,1,12,31,13,0
1368,202201,21837,1,35000,0,67,421,0,3,0,0,1,0,35,0,12,0,1,0,51,54,13,0
1369,202201,21875,3,52000,1,21,502,1,3,1,0,0,0,40,0,12,0,1,0,4,6,15,0
1377,202201,22044,1,38100,1,44,150,1,3,0,0,1,0,40,1,16,0,1,1,4,43,1,0
1380,202201,22080,2,7300,1,54,511,1,4,1,0,0,0,15,1,16,0,1,1,31,42,12,0
1389,202201,22154,3,30000,1,23,465,1,3,1,0,0,0,40,0,14,0,1,1,23,22,1,0
1390,202201,22154,4,12000,1,22,465,1,3,1,0,0,0,40,0,13,0,1,1,20,20,2,0
1400,202201,22315,1,0,0,44,200,0,6,0,0,1,0,52,0,12,0,1,1,12,31,13,1
1403,202201,22340,2,30000,0,41,200,0,4,0,1,0,0,40,1,16,0,1,1,23,24,17,0
1407,202201,22383,1,85000,1,42,260,1,3,0,1,0,0,40,1,18,1,0,1,10,36,6,0
1438,202201,22956,1,86000,1,50,500,1,4,1,0,0,0,54,0,12,0,1,1,21,37,13,0
1439,202201,22956,2,60000,0,45,500,0,3,1,0,0,0,50,0,0,0,1,1,43,45,0,0
1450,202201,23096,3,24000,0,20,200,0,4,0,0,0,0,40,0,11,0,1,1,5,10,10,1
1451,202201,23099,1,150000,1,63,453,1,3,0,0,1,0,48,0,14,0,1,0,63,56,7,0
1452,202201,23129,1,80000,0,57,453,0,5,0,0,1,0,45,0,14,0,1,0,16,44,13,0
1485,202201,23669,1,2500,1,70,200,1,4,0,0,0,0,12,0,14,0,1,1,56,63,7,0
1486,202201,23676,1,154000,1,45,502,1,3,1,0,0,0,40,1,20,1,1,0,43,45,0,0
1505,202201,24037,1,115000,1,28,456,1,4,0,0,1,0,40,1,16,0,1,0,4,12,16,0
1517,202201,24206,1,12000,1,35,200,1,3,0,0,1,0,40,0,11,0,1,1,6,26,9,0
1524,202201,24326,1,51000,0,40,200,0,4,0,0,0,1,80,0,12,0,1,1,17,24,16,0
1603,202201,24950,1,1400,1,30,515,1,5,1,0,0,0,7,0,0,0,1,1,9,13,17,0
1608,202201,24968,2,108000,1,56,411,1,3,0,0,1,0,50,0,12,0,0,0,56,43,13,1
1609,202201,24978,1,98000,0,64,520,0,4,1,0,1,0,48,1,18,1,1,1,41,47,17,0
1610,202201,24978,2,1500,1,51,520,1,5,1,0,1,0,16,1,16,0,1,1,39,38,13,0
1619,202201,25038,1,30000,1,61,150,1,3,0,0,1,0,35,1,16,0,1,1,52,57,4,1
1622,202201,25043,3,50000,1,29,465,1,4,0,0,1,0,40,1,16,0,1,1,14,28,1,0
1623,202201,25043,4,60000,0,28,465,0,4,0,0,1,0,40,0,12,0,1,1,14,28,0,0
1628,202201,25093,1,0,0,60,100,0,3,0,0,0,0,30,0,12,0,1,1,61,44,16,1
1648,202201,25278,1,120000,1,38,515,1,3,1,0,0,0,40,1,16,0,1,1,22,26,12,0
1656,202201,25372,2,35000,0,25,453,0,4,0,0,1,0,45,0,13,0,1,0,14,22,3,0
1658,202201,25379,1,14000,1,22,200,1,4,0,0,0,0,60,0,11,0,1,1,7,20,2,0
1659,202201,25382,1,40000,1,39,515,1,4,1,0,0,0,32,0,14,0,1,1,7,31,8,0
1664,202201,25391,4,50000,0,27,515,0,4,1,0,0,0,40,0,13,0,1,1,21,20,7,0
1670,202201,25455,2,30000,0,24,100,0,4,0,0,0,0,40,0,12,0,1,1,18,17,7,0
1674,202201,25478,2,35300,0,62,200,0,3,0,0,0,0,38,0,12,0,1,1,10,46,16,0
1676,202201,25512,1,55000,0,27,515,0,4,1,0,0,0,40,0,12,0,1,1,9,17,10,0
1677,202201,25529,1,47000,0,24,517,0,5,1,0,0,0,40,0,12,0,1,1,10,17,7,0
1678,202201,25529,2,21400,1,23,517,1,5,1,0,0,0,36,0,12,0,1,1,11,16,7,0
1682,202201,25581,2,30000,1,41,515,1,5,1,0,0,0,20,0,11,0,1,1,35,34,7,0
1684,202201,25597,1,54000,1,58,421,1,3,0,0,1,0,40,0,13,0,1,0,12,45,13,0
1689,202201,25612,1,90000,1,49,502,1,4,1,0,0,0,43,1,16,0,1,0,44,43,6,0
1695,202201,25658,1,471000,1,29,455,1,4,0,0,1,0,55,0,13,0,1,0,11,28,1,0
1701,202201,25690,2,58000,0,31,465,0,4,0,0,1,0,40,1,16,0,1,1,13,20,11,0
1706,202201,25762,1,100000,1,64,150,1,6,0,0,1,0,50,1,16,0,1,1,57,63,1,0
1714,202201,25801,1,25000,1,63,426,1,4,0,0,1,0,30,1,16,0,1,0,48,57,6,0
1716,202201,25810,2,80000,1,41,515,1,4,1,0,0,0,30,1,18,1,1,1,35,34,7,0
1717,202201,25818,2,50000,1,63,150,1,3,0,0,1,0,40,0,14,0,1,1,42,46,17,0
1737,202201,25988,1,29400,0,32,100,0,5,0,0,0,0,56,0,13,0,1,1,24,31,1,0
1739,202201,26005,2,12000,1,25,300,1,4,0,0,1,0,35,0,12,0,1,1,5,11,14,0
1757,202201,26158,1,1200,0,76,453,0,3,0,0,1,0,7,0,12,0,1,0,58,69,7,0
1758,202201,26160,1,85000,0,38,502,0,4,1,0,0,0,40,1,18,1,1,0,14,26,12,0
1772,202201,26362,1,35000,0,32,300,0,4,0,0,0,0,60,0,13,0,1,1,5,16,16,0
1776,202201,26393,2,36000,0,24,465,0,4,0,0,1,0,55,0,13,0,1,1,6,7,17,0
1777,202201,26403,1,80000,0,33,150,0,3,0,0,1,0,40,0,12,0,1,1,9,33,0,0
1784,202201,26519,1,0,0,46,465,0,4,0,0,1,0,40,0,13,0,1,1,14,30,16,1
1795,202201,26626,3,28000,0,27,515,0,3,1,0,0,0,40,0,12,0,1,1,22,22,5,0
1798,202201,26636,2,36000,0,32,465,0,4,0,0,1,0,40,0,14,0,1,1,10,21,11,0
1815,202201,26743,1,150000,0,61,300,0,4,0,0,0,0,44,1,16,0,1,1,44,57,4,0
1825,202201,26783,2,28800,1,49,515,1,4,1,0,0,0,40,0,12,0,1,1,37,40,9,0
1831,202201,26851,2,28000,1,51,515,1,4,1,0,0,0,60,0,11,0,1,1,16,36,15,0
1834,202201,26867,2,26500,1,55,515,1,4,1,0,0,0,40,0,13,0,1,1,40,39,16,0
1845,202201,26924,1,115000,0,28,465,0,4,0,0,1,0,40,1,16,0,1,1,17,25,3,0
1856,202201,27024,1,18300,1,21,517,1,4,1,0,0,1,35,0,12,0,1,1,11,17,4,0
1864,202201,27111,1,90000,1,34,502,1,3,1,0,0,0,30,1,18,1,1,0,35,34,0,0
1866,202201,27129,1,80000,0,31,300,0,3,0,0,0,0,40,1,16,0,1,1,27,27,4,0
1876,202201,27218,1,20000,1,25,515,1,4,1,0,0,0,40,0,12,0,1,1,1,8,17,0
1882,202201,27251,1,48000,1,32,465,1,3,0,0,1,0,40,1,16,0,1,1,23,24,8,0
1885,202201,27269,2,59000,1,39,515,1,4,1,0,0,0,40,0,12,0,1,1,7,31,8,0
1894,202201,27565,1,23500,1,23,452,1,5,0,0,1,0,40,0,13,0,1,1,16,15,8,0
1907,202201,28007,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
1910,202201,28093,1,8000,1,23,452,1,3,0,0,1,0,20,0,13,0,1,1,0,14,9,0
1911,202201,28115,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
1912,202201,28124,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
1923,202201,28288,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
1924,202201,28295,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
1928,202201,28434,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
1932,202201,28620,1,8000,1,23,452,1,3,0,0,1,0,20,0,13,0,1,1,0,14,9,0
1952,202201,29048,1,25900,0,22,515,0,5,1,0,0,0,40,0,12,0,1,1,3,8,14,0
1957,202201,29081,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
1958,202201,29090,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
1959,202201,29120,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
1961,202201,29171,1,25900,0,22,515,0,5,1,0,0,0,40,0,12,0,1,1,3,8,14,0
1966,202201,29317,1,23500,1,23,452,1,5,0,0,1,0,40,0,13,0,1,1,16,15,8,0
1967,202201,29350,1,41600,0,62,150,0,3,0,0,1,0,55,1,16,0,1,1,49,60,2,0
1985,202201,29923,1,2000,0,33,500,0,4,0,0,0,0,40,1,18,1,1,1,11,20,13,0
1990,202201,30026,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
2000,202201,30325,1,41600,0,62,150,0,3,0,0,1,0,55,1,16,0,1,1,49,60,2,0
2004,202201,30362,1,25900,0,22,515,0,5,1,0,0,0,40,0,12,0,1,1,3,8,14,0
2005,202201,30364,1,4000,1,23,515,1,4,1,0,0,0,20,0,13,0,1,1,12,16,7,0
2010,202201,30439,1,25900,0,22,515,0,5,1,0,0,0,40,0,12,0,1,1,3,8,14,0
2013,202201,30540,1,25300,0,31,451,0,4,0,0,1,0,32,1,16,0,1,0,13,18,13,0
2019,202201,30685,1,25900,0,22,515,0,5,1,0,0,0,40,0,12,0,1,1,3,8,14,0
2037,202201,31111,2,40000,1,43,465,1,4,0,0,1,0,40,1,16,0,1,1,26,29,14,0
2038,202201,31128,1,124000,1,36,543,1,4,1,0,0,0,40,1,16,0,1,0,13,21,15,0
2043,202201,31133,1,30000,1,57,515,1,3,1,0,0,0,40,0,13,0,1,1,46,45,12,0
2045,202201,31146,2,65000,0,35,200,0,5,0,0,0,0,40,0,10,0,1,1,33,34,1,0
2046,202201,31147,1,33000,1,28,200,1,1,0,0,1,0,40,0,11,0,1,1,12,15,13,0
2057,202201,31196,2,40000,1,59,200,1,1,0,0,0,0,90,0,0,0,1,1,43,42,17,0
2063,202201,31220,1,42000,0,28,300,0,4,0,0,0,0,30,0,13,0,1,1,4,20,8,1
2068,202201,31232,2,58000,0,32,300,0,4,0,0,0,0,40,1,18,1,1,1,7,19,13,0
2073,202201,31246,2,65000,1,25,500,1,3,1,0,0,0,45,1,16,0,1,1,21,24,1,0
2083,202201,31281,2,5000,1,41,200,1,4,0,0,0,0,40,0,14,0,1,1,9,33,8,0
2085,202201,31288,2,24000,1,54,511,1,5,1,0,0,0,84,0,12,0,1,1,31,39,15,0
2097,202201,31317,3,46600,0,42,457,0,3,0,0,1,0,40,1,18,1,1,1,15,29,13,0
2098,202201,31317,4,0,0,33,457,0,4,0,0,1,1,0,0,14,0,1,1,18,24,9,0
2099,202201,31320,1,38800,0,28,500,0,6,1,0,0,0,40,0,13,0,1,1,2,18,10,0
2100,202201,31320,2,40000,1,33,500,1,3,1,0,0,0,48,1,20,1,1,1,34,33,0,0
2102,202201,31326,1,63000,1,59,200,1,4,0,0,0,0,40,1,18,1,1,1,13,58,1,0
2105,202201,31356,1,30000,0,54,200,0,6,0,0,1,0,40,0,12,0,1,1,54,53,1,0
2106,202201,31356,2,48000,1,52,200,1,1,0,0,1,0,40,1,16,0,1,1,27,46,6,0
2107,202201,31375,1,176000,1,52,200,1,4,0,0,1,0,40,1,16,0,1,1,35,44,8,0
2110,202201,31379,2,31700,1,41,515,1,4,1,0,0,0,40,1,16,0,1,1,36,35,6,0
2113,202201,31395,2,50000,0,43,200,0,4,0,0,0,0,35,0,12,0,1,1,22,36,7,0
2115,202201,31398,3,10000,1,34,200,1,5,0,0,1,0,27,1,16,0,1,1,9,25,9,0
2130,202201,31495,3,38000,1,34,200,1,4,0,0,0,0,40,0,14,0,1,1,10,30,4,0
2132,202201,31497,2,36000,0,29,413,0,3,0,0,1,0,40,0,12,0,0,0,15,17,12,0
2145,202201,31531,1,35000,0,30,456,0,4,0,0,1,0,35,1,16,0,1,0,14,21,9,1
2154,202201,31579,5,45000,0,35,200,0,4,0,0,1,0,50,0,13,0,1,1,25,34,1,0
2155,202201,31581,1,24000,1,33,520,1,4,0,0,1,0,40,1,20,1,1,1,23,29,4,0
2158,202201,31597,1,4800,0,67,433,0,5,0,0,1,0,8,0,12,0,1,0,33,51,16,1
2164,202201,31633,1,17000,1,43,515,1,4,1,0,0,0,24,0,13,0,1,1,9,28,15,0
2171,202201,31668,1,75000,0,51,200,0,5,0,0,1,0,50,0,13,0,1,1,21,34,17,0
2175,202201,31674,1,45000,1,49,200,1,5,0,0,0,0,40,0,12,0,1,1,33,37,12,0
2178,202201,31686,1,112000,1,47,511,1,4,1,0,0,0,40,1,18,1,1,1,40,46,1,0
2208,202201,31875,1,13200,1,38,200,1,6,0,0,1,0,30,1,16,0,1,1,9,21,17,0
2209,202201,31876,1,70000,1,58,300,1,4,0,0,1,0,35,1,18,1,1,1,31,43,15,1
