,SAMPLE,SERIAL,PERNUM,wage,sex,age,bpl,hisp,speakeng,asian,black,white,unempl,typhrs,degr,edu,grad,opl,inclvl,natage,yrusa,ageimmig,selfemp
189593,202201,839198,2,70000,0,38,522,0,3,0,0,1,0,40,1,16,0,1,1,32,31,7,0
189602,202201,839212,1,350000,1,51,300,1,4,0,0,1,0,60,1,18,1,1,1,38,43,8,0
189614,202201,839244,3,150000,1,33,455,1,4,0,0,1,0,55,1,16,0,1,0,13,17,16,0
189634,202201,839313,2,45000,1,55,300,1,5,0,0,1,0,40,0,12,0,1,1,42,41,14,0
189639,202201,839323,1,170000,1,41,433,1,4,0,0,1,0,40,1,16,0,1,0,30,36,5,0
189645,202201,839340,3,5600,1,22,500,1,3,1,0,0,0,12,0,12,0,1,1,22,21,1,0
189656,202201,839372,2,708000,1,51,502,1,3,1,0,0,0,45,1,18,1,1,0,44,50,1,1
189663,202201,839393,1,170000,0,55,502,0,4,1,0,0,0,50,1,18,1,1,0,28,43,12,0
189668,202201,839419,1,91000,1,32,465,1,4,0,0,1,0,40,1,16,0,1,1,26,25,7,0
189671,202201,839421,3,40000,0,27,433,0,4,0,0,1,0,45,0,12,0,1,0,21,26,1,0
189676,202201,839432,1,292000,0,50,542,0,4,0,0,1,0,40,0,9,0,1,1,32,40,10,1
189687,202201,839449,1,125000,0,48,500,0,5,1,0,0,0,40,1,16,0,1,1,5,35,13,0
189694,202201,839453,3,68000,1,35,515,1,4,1,1,1,0,36,1,18,1,1,1,11,18,17,0
189695,202201,839453,4,23000,1,27,515,1,4,1,1,1,0,36,1,16,0,1,1,11,18,9,0
189702,202201,839463,1,58000,1,41,260,1,3,0,1,0,0,70,1,18,1,0,1,17,33,8,0
189703,202201,839463,2,73000,1,38,260,1,3,0,1,0,0,80,1,18,1,0,1,13,22,16,0
189705,202201,839466,2,117000,1,41,502,1,4,1,0,0,0,52,1,16,0,1,0,27,34,7,0
189729,202201,839501,3,16000,1,33,200,1,4,0,0,0,0,40,1,16,0,1,1,7,32,1,0
189730,202201,839503,1,80000,0,76,250,0,3,0,0,1,0,60,0,13,0,1,1,54,71,5,1
189731,202201,839506,1,325000,1,46,150,1,3,0,0,1,0,60,1,18,1,1,1,31,41,5,0
189735,202201,839526,1,69000,1,41,465,1,4,0,0,1,0,40,0,12,0,1,1,10,32,9,0
189736,202201,839526,2,175000,0,43,465,0,4,0,0,1,0,60,0,12,0,1,1,25,31,12,0
189750,202201,839556,2,12500,0,24,300,0,4,0,0,0,0,24,0,12,0,1,1,4,12,12,0
189754,202201,839569,1,0,1,67,433,1,4,0,0,1,0,30,0,12,0,1,0,48,52,15,1
189774,202201,839596,2,16900,1,57,260,1,4,0,1,0,0,30,0,14,0,0,1,25,51,6,0
189779,202201,839621,1,4400,1,62,453,1,4,0,0,1,0,8,1,16,0,1,0,44,58,4,0
189789,202201,839632,1,0,1,39,210,1,4,0,0,1,0,45,1,16,0,1,1,22,34,5,1
189807,202201,839695,2,200000,1,49,500,1,3,1,0,0,0,50,1,18,1,1,1,11,39,10,0
189810,202201,839703,1,19000,0,63,433,0,4,0,0,1,0,39,0,12,0,1,0,53,55,8,0
189833,202201,839750,2,96000,0,35,465,0,4,0,0,1,0,40,1,18,1,1,1,18,25,10,0
189835,202201,839752,2,40000,0,53,260,0,3,0,0,0,0,40,0,9,0,0,1,12,41,12,0
189836,202201,839752,3,5500,1,23,260,1,5,0,1,0,0,30,0,13,0,0,1,4,20,3,0
189848,202201,839764,2,35000,0,30,465,0,4,0,0,1,0,40,1,16,0,1,1,17,21,9,0
189849,202201,839773,1,117000,1,54,438,1,4,0,0,1,0,40,0,14,0,1,0,38,49,5,0
189850,202201,839773,2,90000,0,62,438,0,4,0,0,1,0,40,1,18,1,1,0,26,52,10,0
189857,202201,839791,2,3300,1,65,534,1,4,0,0,1,0,26,1,16,0,1,0,49,54,11,0
189863,202201,839811,2,0,0,53,500,0,4,1,0,0,0,48,0,12,0,1,1,14,36,17,1
189866,202201,839812,3,29000,1,35,300,1,4,0,0,0,0,40,0,13,0,1,1,24,32,3,0
189880,202201,839865,2,19000,1,28,300,1,3,0,0,0,0,32,0,12,0,1,1,22,21,7,0
189881,202201,839872,2,72000,1,48,210,1,3,0,0,0,0,40,1,18,1,1,1,47,46,2,0
189885,202201,839880,1,90000,1,54,260,1,4,0,0,0,0,40,0,14,0,0,1,34,42,12,0
189889,202201,839886,2,100000,1,51,502,1,4,1,0,0,0,20,1,18,1,1,0,7,36,15,0
189899,202201,839906,1,40000,1,60,210,1,4,0,0,0,0,15,1,18,1,1,1,30,49,11,0
189907,202201,839918,2,62000,0,33,300,0,5,0,1,1,0,42,1,16,0,1,1,10,22,11,0
189920,202201,839980,2,62000,1,60,433,1,6,0,0,1,0,50,1,18,1,1,0,52,51,9,0
189925,202201,839986,1,65000,1,40,522,1,4,0,0,1,0,40,1,18,1,1,1,18,34,6,1
189927,202201,839996,2,85000,1,46,515,1,4,1,0,0,0,40,1,16,0,1,1,35,35,11,0
189928,202201,840001,1,50000,0,45,599,0,5,0,0,1,0,48,1,16,0,1,1,22,33,12,0
189930,202201,840007,2,138000,0,40,515,0,4,1,0,0,0,40,1,16,0,1,1,21,29,11,0
189935,202201,840014,1,29600,0,29,200,0,4,0,0,0,0,72,0,12,0,1,1,3,28,1,0
189936,202201,840014,2,21600,1,31,200,1,5,0,0,0,0,56,0,12,0,1,1,4,28,3,0
189940,202201,840027,1,300000,0,36,250,0,4,0,0,1,0,40,0,14,0,1,1,21,20,16,1
189943,202201,840034,1,49900,1,27,500,1,3,1,0,0,0,40,1,16,0,1,1,26,25,2,0
189946,202201,840042,2,40000,1,47,434,1,3,0,0,1,0,20,1,18,1,1,0,45,46,1,0
189947,202201,840044,1,250000,0,39,502,0,4,1,0,0,0,40,1,18,1,1,0,12,27,12,1
189955,202201,840055,1,100000,0,57,502,0,4,1,0,0,0,40,1,16,0,1,0,44,45,12,0
189960,202201,840061,3,12000,1,29,210,1,4,0,0,1,0,40,1,16,0,1,1,6,19,10,0
189965,202201,840069,4,60000,1,25,465,1,3,0,0,1,0,40,0,14,0,1,1,13,23,2,0
189987,202201,840128,1,135000,0,33,455,0,3,0,0,1,0,43,1,18,1,1,0,10,27,6,0
189988,202201,840129,1,25000,1,32,515,1,3,1,0,0,0,20,1,16,0,1,1,22,30,2,0
189995,202201,840134,5,60000,0,32,260,0,5,0,0,0,0,60,0,12,0,0,1,7,18,14,0
190005,202201,840152,5,0,0,39,260,0,4,0,1,0,1,0,0,12,0,0,1,18,23,16,0
